loan_reference,payment_amount,payment_date,payment_method,transaction_type,reference_number
JUTEM-00108,800000.0,2024-12-06,cash,Loan Repayment,PMT-00134
JUTEM-00109,87500.0,2024-12-30,cash,Loan Repayment,PMT-00135
JUTEM-00110,1200000.0,2025-02-16,cash,Loan Repayment,PMT-00136
JUTEM-00111,7080000.0,2025-06-29,cash,Loan Repayment,PMT-00137
JUTEM-00113,3750.0,2021-12-08,cash,Loan Repayment,PMT-00138
JUTEM-00114,12500.0,2022-01-03,cash,Loan Repayment,PMT-00139
JUTEM-00115,15000.0,2022-02-03,cash,Loan Repayment,PMT-00140
JUTEM-00116,15000.0,2022-03-09,cash,Loan Repayment,PMT-00141
JUTEM-00117,132000.0,2025-08-15,cash,Loan Repayment,PMT-00142
JUTEM-00118,540000.0,2025-09-05,cash,Loan Repayment,PMT-00143
JUTEM-00119,561600.0,2025-10-10,cash,Loan Repayment,PMT-00144
JUTEM-00120,117000.0,2025-11-27,cash,Loan Repayment,PMT-00145
JUTEM-00121,349800.0,2026-02-28,cash,Loan Repayment,PMT-00146
JUTEM-00122,199999.99,2025-04-10,cash,Loan Repayment,PMT-00147
JUTEM-00123,320000.01,2025-05-10,cash,Loan Repayment,PMT-00148
JUTEM-00124,462000.0,2025-06-05,cash,Loan Repayment,PMT-00149
JUTEM-00125,200200.0,2025-07-05,cash,Loan Repayment,PMT-00150
JUTEM-00125,200200.0,2025-08-05,cash,Loan Repayment,PMT-00151
JUTEM-00125,200200.0,2025-09-05,cash,Loan Repayment,PMT-00152
JUTEM-00126,115230.0,2025-11-30,cash,Loan Repayment,PMT-00153
JUTEM-00127,3390.0,2023-11-30,cash,Loan Repayment,PMT-00154
JUTEM-00128,10000.0,2022-01-27,cash,Loan Repayment,PMT-00155
JUTEM-00129,6250.0,2022-10-30,cash,Loan Repayment,PMT-00156
JUTEM-00130,27000.0,2023-05-21,cash,Loan Repayment,PMT-00157
JUTEM-00130,27000.0,2023-06-21,cash,Loan Repayment,PMT-00158
JUTEM-00131,2400.0,2023-07-21,cash,Loan Repayment,PMT-00159
JUTEM-00131,2400.0,2023-10-21,cash,Loan Repayment,PMT-00160
JUTEM-00132,8100.0,2023-09-28,cash,Loan Repayment,PMT-00161
JUTEM-00132,8100.0,2023-10-28,cash,Loan Repayment,PMT-00162
JUTEM-00133,8100.0,2024-03-22,cash,Loan Repayment,PMT-00163
JUTEM-00134,26000.0,2025-06-22,cash,Loan Repayment,PMT-00164
JUTEM-00135,9750.0,2025-09-20,cash,Loan Repayment,PMT-00165
JUTEM-00135,9750.0,2025-10-20,cash,Loan Repayment,PMT-00166
JUTEM-00136,5605.0,2025-11-21,cash,Loan Repayment,PMT-00167
JUTEM-00137,6400.0,2026-01-22,cash,Loan Repayment,PMT-00168
JUTEM-00137,6400.0,2026-02-22,cash,Loan Repayment,PMT-00169
JUTEM-00138,13500.0,2022-05-21,cash,Loan Repayment,PMT-00170
JUTEM-00138,13500.0,2022-06-21,cash,Loan Repayment,PMT-00171
JUTEM-00139,9900.0,2024-11-22,cash,Loan Repayment,PMT-00172
JUTEM-00139,9900.0,2024-12-22,cash,Loan Repayment,PMT-00173
JUTEM-00140,5782.0,2025-01-22,cash,Loan Repayment,PMT-00174
JUTEM-00141,6750.0,2025-03-24,cash,Loan Repayment,PMT-00175
JUTEM-00141,6750.0,2025-04-24,cash,Loan Repayment,PMT-00176
JUTEM-00142,7965.0,2025-05-22,cash,Loan Repayment,PMT-00177
JUTEM-00143,7200.0,2023-10-28,cash,Loan Repayment,PMT-00178
JUTEM-00144,2420.0,2024-05-30,cash,Loan Repayment,PMT-00179
JUTEM-00144,2400.0,2025-03-30,cash,Loan Repayment,PMT-00180
JUTEM-00145,5800.0,2025-04-30,cash,Loan Repayment,PMT-00181
JUTEM-00146,5750.0,2025-10-29,cash,Loan Repayment,PMT-00182
JUTEM-00146,6000.0,2025-12-29,cash,Loan Repayment,PMT-00183
JUTEM-00147,1250.0,2023-09-15,cash,Loan Repayment,PMT-00184
JUTEM-00147,1250.0,2023-10-15,cash,Loan Repayment,PMT-00185
JUTEM-00148,29250.0,2021-10-15,cash,Loan Repayment,PMT-00186
JUTEM-00149,8400.0,2022-02-13,cash,Loan Repayment,PMT-00187
JUTEM-00150,2000.0,2022-09-01,cash,Loan Repayment,PMT-00188
JUTEM-00151,11700.0,2023-07-15,cash,Loan Repayment,PMT-00189
JUTEM-00152,59000.0,2024-09-05,cash,Loan Repayment,PMT-00190
JUTEM-00152,59000.0,2024-10-05,cash,Loan Repayment,PMT-00191
JUTEM-00152,59000.0,2024-11-05,cash,Loan Repayment,PMT-00192
JUTEM-00153,23400.0,2025-03-19,cash,Loan Repayment,PMT-00193
JUTEM-00154,171750.0,2025-03-31,cash,Loan Repayment,PMT-00194
JUTEM-00155,625.0,2021-07-30,cash,Loan Repayment,PMT-00195
JUTEM-00156,500.0,2021-08-25,cash,Loan Repayment,PMT-00196
JUTEM-00157,1250.0,2021-10-10,cash,Loan Repayment,PMT-00197
JUTEM-00158,625.0,2021-10-10,cash,Loan Repayment,PMT-00198
JUTEM-00159,1495.0,2021-12-20,cash,Loan Repayment,PMT-00199
JUTEM-00160,1000.0,2021-12-04,cash,Loan Repayment,PMT-00200
JUTEM-00161,2500.0,2022-02-23,cash,Loan Repayment,PMT-00201
JUTEM-00162,3000.0,2022-04-11,cash,Loan Repayment,PMT-00202
JUTEM-00163,2500.0,2022-05-04,cash,Loan Repayment,PMT-00203
JUTEM-00164,3750.0,2022-05-09,cash,Loan Repayment,PMT-00204
JUTEM-00165,4500.0,2022-06-09,cash,Loan Repayment,PMT-00205
JUTEM-00166,1000.0,2023-10-01,cash,Loan Repayment,PMT-00206
JUTEM-00166,1000.0,2023-11-01,cash,Loan Repayment,PMT-00207
JUTEM-00166,1000.0,2023-12-01,cash,Loan Repayment,PMT-00208
JUTEM-00166,1000.0,2024-01-01,cash,Loan Repayment,PMT-00209
JUTEM-00166,1000.0,2024-02-01,cash,Loan Repayment,PMT-00210
JUTEM-00166,1000.0,2024-03-01,cash,Loan Repayment,PMT-00211
JUTEM-00167,1000.0,2024-04-06,cash,Loan Repayment,PMT-00212
JUTEM-00167,1000.0,2024-05-06,cash,Loan Repayment,PMT-00213
JUTEM-00167,1000.0,2024-06-06,cash,Loan Repayment,PMT-00214
JUTEM-00167,1000.0,2024-07-06,cash,Loan Repayment,PMT-00215
JUTEM-00167,1000.0,2024-08-06,cash,Loan Repayment,PMT-00216
JUTEM-00167,1000.0,2024-09-06,cash,Loan Repayment,PMT-00217
JUTEM-00168,6250.0,2025-06-20,cash,Loan Repayment,PMT-00218
JUTEM-00169,5950.0,2025-08-22,cash,Loan Repayment,PMT-00219
JUTEM-00170,3656.25,2025-12-22,cash,Loan Repayment,PMT-00220
JUTEM-00172,750.0,2021-08-30,cash,Loan Repayment,PMT-00221
JUTEM-00173,3750.0,2022-02-05,cash,Loan Repayment,PMT-00222
JUTEM-00174,1250.0,2022-04-09,cash,Loan Repayment,PMT-00223
JUTEM-00175,3750.0,2022-04-28,cash,Loan Repayment,PMT-00224
JUTEM-00175,3750.0,2022-10-28,cash,Loan Repayment,PMT-00225
JUTEM-00175,3600.0,2022-11-28,cash,Loan Repayment,PMT-00226
JUTEM-00175,3600.0,2023-02-28,cash,Loan Repayment,PMT-00227
JUTEM-00175,3600.0,2023-03-28,cash,Loan Repayment,PMT-00228
JUTEM-00175,3600.0,2023-04-28,cash,Loan Repayment,PMT-00229
JUTEM-00175,3600.0,2023-07-28,cash,Loan Repayment,PMT-00230
JUTEM-00175,3540.0,2023-09-28,cash,Loan Repayment,PMT-00231
JUTEM-00175,3540.0,2023-10-28,cash,Loan Repayment,PMT-00232
JUTEM-00176,2400.0,2022-05-29,cash,Loan Repayment,PMT-00233
JUTEM-00176,2500.0,2022-05-29,cash,Loan Repayment,PMT-00234
JUTEM-00176,2400.0,2023-05-29,cash,Loan Repayment,PMT-00235
JUTEM-00177,2500.0,2022-07-03,cash,Loan Repayment,PMT-00236
JUTEM-00178,3125.0,2022-08-18,cash,Loan Repayment,PMT-00237
JUTEM-00179,3125.0,2022-09-25,cash,Loan Repayment,PMT-00238
JUTEM-00179,2950.0,2023-11-25,cash,Loan Repayment,PMT-00239
JUTEM-00180,8750.0,2023-01-24,cash,Loan Repayment,PMT-00240
JUTEM-00181,3000.0,2023-06-30,cash,Loan Repayment,PMT-00241
JUTEM-00182,3240.0,2023-08-25,cash,Loan Repayment,PMT-00242
JUTEM-00183,2416.67,2023-12-24,cash,Loan Repayment,PMT-00243
JUTEM-00183,2416.67,2024-01-24,cash,Loan Repayment,PMT-00244
JUTEM-00183,2416.67,2024-02-24,cash,Loan Repayment,PMT-00245
JUTEM-00184,2340.0,2023-11-25,cash,Loan Repayment,PMT-00246
JUTEM-00184,2460.0,2024-01-25,cash,Loan Repayment,PMT-00247
JUTEM-00185,2925.0,2023-12-22,cash,Loan Repayment,PMT-00248
JUTEM-00185,3000.0,2024-12-22,cash,Loan Repayment,PMT-00249
JUTEM-00186,2750.0,2024-02-09,cash,Loan Repayment,PMT-00250
JUTEM-00187,3540.0,2024-02-29,cash,Loan Repayment,PMT-00251
JUTEM-00187,3750.0,2024-03-30,cash,Loan Repayment,PMT-00252
JUTEM-00187,3600.0,2024-05-30,cash,Loan Repayment,PMT-00253
JUTEM-00187,3600.0,2024-07-30,cash,Loan Repayment,PMT-00254
JUTEM-00187,3570.0,2024-08-30,cash,Loan Repayment,PMT-00255
JUTEM-00187,3600.0,2025-04-30,cash,Loan Repayment,PMT-00256
JUTEM-00187,3600.0,2025-05-30,cash,Loan Repayment,PMT-00257
JUTEM-00188,3000.0,2024-10-29,cash,Loan Repayment,PMT-00258
JUTEM-00188,3000.0,2024-11-29,cash,Loan Repayment,PMT-00259
JUTEM-00189,4800.0,2025-02-28,cash,Loan Repayment,PMT-00260
JUTEM-00190,5750.0,2025-03-31,cash,Loan Repayment,PMT-00261
JUTEM-00191,6000.0,2025-06-30,cash,Loan Repayment,PMT-00262
JUTEM-00192,19950.0,2025-07-30,cash,Loan Repayment,PMT-00263
JUTEM-00193,5850.0,2025-10-30,cash,Loan Repayment,PMT-00264
JUTEM-00193,5850.0,2025-11-30,cash,Loan Repayment,PMT-00265
JUTEM-00194,2750.0,2025-12-20,cash,Loan Repayment,PMT-00266
JUTEM-00195,6490.0,2026-01-29,cash,Loan Repayment,PMT-00267
JUTEM-00196,6500.0,2026-02-28,cash,Loan Repayment,PMT-00268
JUTEM-00198,6250.0,2021-11-28,cash,Loan Repayment,PMT-00269
JUTEM-00199,12500.0,2022-04-24,cash,Loan Repayment,PMT-00270
JUTEM-00200,2500.0,2022-10-30,cash,Loan Repayment,PMT-00271
JUTEM-00201,2500.0,2022-11-25,cash,Loan Repayment,PMT-00272
JUTEM-00202,8750.0,2023-01-24,cash,Loan Repayment,PMT-00273
JUTEM-00203,8750.0,2023-02-22,cash,Loan Repayment,PMT-00274
JUTEM-00204,12500.0,2023-04-03,cash,Loan Repayment,PMT-00275
JUTEM-00205,6000.0,2023-11-29,cash,Loan Repayment,PMT-00276
JUTEM-00205,5900.0,2024-05-29,cash,Loan Repayment,PMT-00277
JUTEM-00206,6600.0,2023-12-29,cash,Loan Repayment,PMT-00278
JUTEM-00207,2200.0,2024-03-29,cash,Loan Repayment,PMT-00279
JUTEM-00208,3213.0,2024-06-29,cash,Loan Repayment,PMT-00280
JUTEM-00209,4760.0,2024-08-29,cash,Loan Repayment,PMT-00281
JUTEM-00210,6600.0,2025-01-27,cash,Loan Repayment,PMT-00282
JUTEM-00210,6600.0,2025-02-27,cash,Loan Repayment,PMT-00283
JUTEM-00211,6600.0,2024-10-30,cash,Loan Repayment,PMT-00284
JUTEM-00211,6600.0,2024-11-30,cash,Loan Repayment,PMT-00285
JUTEM-00211,6400.0,2025-11-30,cash,Loan Repayment,PMT-00286
JUTEM-00211,6400.0,2025-12-30,cash,Loan Repayment,PMT-00287
JUTEM-00212,7800.0,2025-03-12,cash,Loan Repayment,PMT-00288
JUTEM-00213,3520.0,2025-04-30,cash,Loan Repayment,PMT-00289
JUTEM-00213,3520.0,2025-05-30,cash,Loan Repayment,PMT-00290
JUTEM-00214,8330.0,2025-06-30,cash,Loan Repayment,PMT-00291
JUTEM-00215,7735.0,2025-07-30,cash,Loan Repayment,PMT-00292
JUTEM-00216,4225.0,2025-08-30,cash,Loan Repayment,PMT-00293
JUTEM-00216,4225.0,2025-09-30,cash,Loan Repayment,PMT-00294
JUTEM-00217,2360.0,2025-10-29,cash,Loan Repayment,PMT-00295
JUTEM-00218,9600.0,2026-01-30,cash,Loan Repayment,PMT-00296
JUTEM-00219,9600.0,2026-02-28,cash,Loan Repayment,PMT-00297
JUTEM-00220,289405.2,2024-08-12,cash,Loan Repayment,PMT-00298
JUTEM-00221,33000.0,2024-08-09,cash,Loan Repayment,PMT-00299
JUTEM-00222,23000.0,2024-09-30,cash,Loan Repayment,PMT-00300
JUTEM-00223,7080.0,2023-09-30,cash,Loan Repayment,PMT-00301
JUTEM-00224,3540.0,2023-10-29,cash,Loan Repayment,PMT-00302
JUTEM-00225,2300.0,2023-11-30,cash,Loan Repayment,PMT-00303
JUTEM-00226,3000.0,2024-03-15,cash,Loan Repayment,PMT-00304
JUTEM-00226,3000.0,2024-05-15,cash,Loan Repayment,PMT-00305
JUTEM-00226,3000.0,2024-06-15,cash,Loan Repayment,PMT-00306
JUTEM-00227,1999.95,2024-08-15,cash,Loan Repayment,PMT-00307
JUTEM-00227,1800.0,2024-10-15,cash,Loan Repayment,PMT-00308
JUTEM-00228,2400.0,2024-11-10,cash,Loan Repayment,PMT-00309
JUTEM-00229,7500.0,2021-12-03,cash,Loan Repayment,PMT-00310
JUTEM-00230,11000.0,2025-10-28,cash,Loan Repayment,PMT-00311
JUTEM-00231,12000.0,2025-11-30,cash,Loan Repayment,PMT-00312
JUTEM-00232,14400.0,2025-12-28,cash,Loan Repayment,PMT-00313
JUTEM-00233,11000.0,2025-12-19,cash,Loan Repayment,PMT-00314
JUTEM-00234,12376.0,2026-01-29,cash,Loan Repayment,PMT-00315
JUTEM-00236,5000.0,2021-10-29,cash,Loan Repayment,PMT-00316
JUTEM-00237,24000.0,2022-06-22,cash,Loan Repayment,PMT-00317
JUTEM-00237,24000.0,2023-06-22,cash,Loan Repayment,PMT-00318
JUTEM-00237,24000.0,2023-07-22,cash,Loan Repayment,PMT-00319
JUTEM-00238,69300.0,2022-07-08,cash,Loan Repayment,PMT-00320
JUTEM-00239,165100.0,2022-10-28,cash,Loan Repayment,PMT-00321
JUTEM-00240,35400.0,2023-08-20,cash,Loan Repayment,PMT-00322
JUTEM-00241,2440.0,2023-12-30,cash,Loan Repayment,PMT-00323
JUTEM-00242,2800.0,2024-02-03,cash,Loan Repayment,PMT-00324
JUTEM-00243,2950.0,2025-10-21,cash,Loan Repayment,PMT-00325
JUTEM-00244,13000.0,2025-12-21,cash,Loan Repayment,PMT-00326
JUTEM-00244,11900.0,2026-02-21,cash,Loan Repayment,PMT-00327
JUTEM-00245,4400.0,2026-01-26,cash,Loan Repayment,PMT-00328
JUTEM-00246,6900.0,2026-02-26,cash,Loan Repayment,PMT-00329
JUTEM-00248,3630.0,2024-06-30,cash,Loan Repayment,PMT-00330
JUTEM-00249,3000.0,2025-09-18,cash,Loan Repayment,PMT-00331
JUTEM-00250,60000.0,2024-06-16,cash,Loan Repayment,PMT-00332
JUTEM-00251,10500.0,2023-11-02,cash,Loan Repayment,PMT-00333
JUTEM-00252,1650.0,2023-11-20,cash,Loan Repayment,PMT-00334
JUTEM-00253,4720.0,2023-12-18,cash,Loan Repayment,PMT-00335
JUTEM-00254,11500.0,2024-10-05,cash,Loan Repayment,PMT-00336
JUTEM-00255,7500.0,2024-12-26,cash,Loan Repayment,PMT-00337
JUTEM-00257,11500.0,2024-09-01,cash,Loan Repayment,PMT-00338
JUTEM-00258,11500.0,2024-12-15,cash,Loan Repayment,PMT-00339
JUTEM-00258,11500.0,2025-01-15,cash,Loan Repayment,PMT-00340
JUTEM-00259,11500.0,2024-11-05,cash,Loan Repayment,PMT-00341
JUTEM-00260,2750.0,2024-03-26,cash,Loan Repayment,PMT-00342
JUTEM-00261,2500.0,2024-04-26,cash,Loan Repayment,PMT-00343
JUTEM-00262,2750.0,2024-05-29,cash,Loan Repayment,PMT-00344
JUTEM-00263,3125.0,2024-09-23,cash,Loan Repayment,PMT-00345
JUTEM-00264,3436.95,2024-10-25,cash,Loan Repayment,PMT-00346
JUTEM-00265,2400.0,2023-12-10,cash,Loan Repayment,PMT-00347
JUTEM-00266,6000.0,2023-12-22,cash,Loan Repayment,PMT-00348
JUTEM-00267,6000.0,2024-01-20,cash,Loan Repayment,PMT-00349
JUTEM-00268,6900.0,2024-03-20,cash,Loan Repayment,PMT-00350
JUTEM-00268,6960.0,2024-04-20,cash,Loan Repayment,PMT-00351
JUTEM-00268,7200.0,2024-05-20,cash,Loan Repayment,PMT-00352
JUTEM-00269,24000.0,2024-11-04,cash,Loan Repayment,PMT-00353
JUTEM-00270,30000.0,2025-02-20,cash,Loan Repayment,PMT-00354
JUTEM-00271,15730.0,2025-04-11,cash,Loan Repayment,PMT-00355
JUTEM-00272,3125.0,2024-02-22,cash,Loan Repayment,PMT-00356
JUTEM-00273,4800.0,2023-10-26,cash,Loan Repayment,PMT-00357
